"","Fold Change","log2(FC)"
"379.02_731.8133m/z",0.40096,-1.3185
"701.73_989.9318m/z",2.4941,1.3185
"565.53_893.741m/z",0.40213,-1.3143
"554.12_815.6948m/z",0.40223,-1.3139
"613.32_552.5062m/z",0.40241,-1.3133
"625.64_822.6364m/z",0.40299,-1.3112
"608.99_946.6594m/z",0.40359,-1.309
"371.04_923.6316m/z",2.4752,1.3075
"450.77_553.5103m/z",0.40452,-1.3057
"386.78_1668.1988m/z",0.40528,-1.303
"425.45_777.5627m/z",0.40544,-1.3025
"139.48_270.2307m/z",0.40552,-1.3022
"611.95_998.8205m/z",0.40565,-1.3017
"609.44_934.7875m/z",0.40578,-1.3012
"Acetic acid",0.40614,-1.2999
"473.13_881.6302m/z",0.40645,-1.2989
"Tetracosapentaenoic acid FA(24:5)",0.40649,-1.2987
"371.04_922.6281m/z",2.4558,1.2962
"641.16_827.7809m/z",0.40775,-1.2942
"573.29_942.7568m/z",0.40815,-1.2928
"626.55_521.4572m/z",0.40866,-1.291
"558.23_840.7057m/z",0.40876,-1.2907
"508.61_706.6809m/z",0.40937,-1.2885
"328.49_975.4961m/z",0.4095,-1.2881
"384.5_768.5533m/z",0.4118,-1.28
"328.95_782.5613m/z",0.412,-1.2793
"588.8_797.6639m/z",0.41239,-1.2779
"625.41_823.7595m/z",0.41287,-1.2762
"303.4_828.5559m/z",0.41309,-1.2755
"591.08_521.4565m/z",0.41331,-1.2747
"541.92_737.6484m/z",0.41361,-1.2737
"231.31_596.4971m/z",0.4143,-1.2713
"370.81_924.6285m/z",2.4134,1.2711
"504.5_657.586m/z",0.4162,-1.2647
"625.41_822.756m/z",0.41641,-1.2639
"92.83_393.2403m/z",0.41676,-1.2627
"508.15_630.5035m/z",0.41718,-1.2613
"TG(48:1)",0.41718,-1.2612
"568.95_841.7104m/z",0.41729,-1.2609
"LPA(20:3/0:0)",0.41752,-1.2601
"581.16_970.7791m/z",0.41772,-1.2594
"594.51_545.4569m/z",0.41783,-1.259
"327.92_840.5662m/z",0.41816,-1.2579
"TG(46:0)",0.41827,-1.2575
"609.22_521.4569m/z",0.4187,-1.256
"625.41_824.7628m/z",0.41909,-1.2547
"439.14_752.5595m/z",0.41917,-1.2544
"689.63_981.828m/z",2.3857,1.2544
"377.2_788.5656m/z",0.41969,-1.2526
"585.84_416.3648m/z",2.3825,1.2524
"287.32_729.5263m/z",0.41995,-1.2517
"158.19_505.3349m/z",0.4207,-1.2491
"67.5_454.2114m/z",0.42119,-1.2475
"359.29_721.4997m/z",0.42136,-1.2469
"328.72_839.5635m/z",0.42134,-1.2469
"623.36_796.7399m/z",0.42139,-1.2468
"609.21_522.4603m/z",0.42145,-1.2466
"Ethanol",0.42249,-1.243
"246.02_416.3261m/z",2.3625,1.2403
"450.55_607.4713m/z",0.42335,-1.2401
"497.43_924.6521m/z",0.42337,-1.24
"570.32_791.6959m/z",0.42349,-1.2396
"572.83_905.792m/z",0.42352,-1.2395
"659.64_856.8491m/z",0.42412,-1.2375
"346.74_1535.1569m/z",0.42498,-1.2345
"571.69_992.7722m/z",0.42506,-1.2343
"615.83_810.7476m/z",0.42538,-1.2332
"566.67_764.6779m/z",0.42574,-1.232
"V4FC",0.4258,-1.2317
"573.29_943.7604m/z",0.42646,-1.2295
