"","Fold Change","log2(FC)"
"167.77_337.2354m/z",0.59022,-0.76069
"269.97_505.4254m/z",0.59099,-0.7588
"589.03_805.7117m/z",1.6919,0.75866
"174.16_647.4989m/z",0.59148,-0.7576
"168.34_445.3318m/z",0.59173,-0.75698
"368.75_828.5754m/z",0.59175,-0.75693
"72.06_638.1598m/z",1.6895,0.75658
"290.05_885.5406m/z",0.59197,-0.7564
"599.29_807.7278m/z",1.6881,0.75541
"355.87_844.5832m/z",0.59245,-0.75523
"563.25_793.6616m/z",1.6868,0.75429
"409.14_1598.2143m/z",0.59306,-0.75375
"566.67_785.6201m/z",1.6855,0.75321
"371.49_694.3831m/z",1.6853,0.75298
"377.88_907.5651m/z",0.59349,-0.75271
"231.31_339.2513m/z",1.6848,0.75259
"181.46_605.4089m/z",0.5936,-0.75244
"72.06_299.1398m/z",1.6843,0.75213
"80.96_646.0315m/z",0.59374,-0.75209
"408.68_61.9881m/z",0.59399,-0.75149
"167.77_257.2386m/z",0.59406,-0.75131
"81.87_441.2404m/z",0.59423,-0.7509
"409.6_813.5251m/z",0.5947,-0.74977
"420.09_857.6096m/z",0.59475,-0.74963
"111.99_530.3027m/z",0.59478,-0.74957
"368.75_881.5503m/z",0.59507,-0.74887
"541.92_809.6604m/z",1.6764,0.7454
"353.59_913.5803m/z",0.59719,-0.74374
"Octadecadienoic acid FA(18:2)",0.59755,-0.74288
"409.14_1006.5539m/z",0.59758,-0.74279
"151.34_100.9331m/z",0.59762,-0.74269
"98.76_199.1696m/z",0.59774,-0.74242
"Lauric acid FA(12:0)",0.59804,-0.74168
"151.57_279.2323m/z",0.5987,-0.74011
"461.5_416.3655m/z",1.6695,0.73942
"H1PL",0.59908,-0.73917
"592.22_960.8425m/z",1.669,0.73895
"420.09_855.6106m/z",0.59922,-0.73883
"151.34_566.2837m/z",0.59946,-0.73826
"396.36_908.5691m/z",0.59988,-0.73727
"81.87_481.2333m/z",0.60022,-0.73644
"303.4_822.5662m/z",1.6652,0.73567
"289.6_856.5054m/z",0.6006,-0.73551
"PI(18:0/22:4)",0.60106,-0.73443
"408.91_872.6283m/z",0.60131,-0.73381
"370.35_869.6039m/z",0.60182,-0.7326
"314.57_885.5486m/z",0.60198,-0.73221
"496.28_115.9201m/z",0.60202,-0.73212
"81.65_471.2136m/z",0.60205,-0.73206
"599.29_806.7245m/z",1.6609,0.73201
"112.9_496.5086m/z",0.60214,-0.73183
"72.06_479.2006m/z",1.6606,0.73169
"314.57_886.5523m/z",0.60222,-0.73165
"81.87_337.2742m/z",0.60248,-0.73101
"278.85_1388.9506m/z",0.60259,-0.73074
"606.7_794.7243m/z",1.6594,0.73067
"PE(O-18:1/22:4) and/or PE(P-18:0/22:4)",0.60282,-0.73021
"81.87_454.2112m/z",0.60308,-0.72959
"447.58_898.6503m/z",0.60317,-0.72937
"81.87_452.1955m/z",0.60319,-0.72931
"592.91_901.7405m/z",1.6574,0.72895
"368.75_829.5787m/z",0.60342,-0.72876
"130.58_278.2202m/z",0.60364,-0.72824
"151.34_467.3053m/z",0.60368,-0.72813
"81.87_589.2655m/z",0.60371,-0.72808
"347.88_1464.1062m/z",0.60372,-0.72804
"111.99_489.202m/z",0.60392,-0.72757
"606.7_795.7277m/z",1.6557,0.72745
"TG(46:1)",1.6556,0.72738
"634.54_857.6995m/z",1.6551,0.72694
"81.87_417.2403m/z",0.60429,-0.72669
"679.6_565.5553m/z",1.6537,0.7257
"632.26_815.711m/z",1.6535,0.7255
"PI(16:0/22:5)",0.6051,-0.72476
"374.91_839.5053m/z",0.60515,-0.72463
"111.99_1185.6093m/z",0.60552,-0.72375
"696.02_974.9128m/z",1.6504,0.72281
"H1A1",0.60603,-0.72253
"285.95_376.3128m/z",1.6496,0.72211
"177.58_493.335m/z",0.60653,-0.72136
"409.6_816.6295m/z",0.60653,-0.72136
"81.87_431.219m/z",0.60666,-0.72105
"81.65_509.2992m/z",0.60667,-0.72101
"167.77_256.2357m/z",0.60672,-0.72089
"Cholesterol Sulfate_2",0.60693,-0.7204
"130.58_277.2168m/z",0.60705,-0.72011
"177.58_494.3384m/z",0.60705,-0.7201
"677.09_989.8532m/z",1.6463,0.71925
"67.5_454.2114m/z",0.60747,-0.71911
"303.4_823.5697m/z",1.6449,0.71801
"Octadecatrienoic acid FA(18:3)_1",0.60839,-0.71692
"588.57_794.7153m/z",1.6434,0.71666
"365.11_740.5121m/z",0.60858,-0.71649
"409.6_1560.2243m/z",0.60863,-0.71637
"151.34_466.307m/z",0.60866,-0.7163
"72.06_300.143m/z",1.6427,0.71609
"90.09_552.3301m/z",0.60878,-0.71602
"618.11_698.5936m/z",0.60886,-0.71581
"151.34_465.3037m/z",0.60888,-0.71578
"286.17_378.3272m/z",1.6423,0.71574
"183.62_506.3361m/z",0.60925,-0.71489
"353.59_914.5837m/z",0.60946,-0.71439
"566.67_742.6106m/z",1.6402,0.71389
"346.29_837.5491m/z",0.60975,-0.71371
"346.74_1615.1467m/z",1.6398,0.71355
"363.96_1122.4786m/z",0.60991,-0.71334
"90.32_302.2249m/z",0.61006,-0.71298
"558.23_840.7057m/z",1.6385,0.71237
"368.53_1120.4626m/z",0.61053,-0.71187
"368.75_844.5972m/z",0.6107,-0.71146
"81.87_458.2353m/z",0.61122,-0.71023
"H1A2",0.61132,-0.71
"Palmitic acid FA(16:0)",0.61141,-0.70979
"377.88_1469.1405m/z",0.61216,-0.70803
"588.8_793.7118m/z",1.6334,0.70785
"378.57_1541.1937m/z",0.61228,-0.70775
"447.58_435.8211m/z",1.6332,0.70771
"NAPE(O-18:1/20:4/16:0) and/or NAPE(P-18:0/20:4/16:0)",0.61243,-0.70739
"Lactic acid",0.61255,-0.7071
"396.13_909.5716m/z",0.61262,-0.70693
"376.06_862.5337m/z",0.61289,-0.70629
"588.8_792.7084m/z",1.6314,0.70608
"576.71_867.7261m/z",1.6311,0.70582
"405.72_886.4975m/z",0.61337,-0.70517
"341.72_880.5369m/z",0.61338,-0.70514
"565.53_893.741m/z",1.6294,0.70433
"289.6_859.5246m/z",0.61378,-0.70421
"TG(46:2)",1.6291,0.7041
"587.66_577.5188m/z",1.6285,0.7035
"PE(18:0/22:4)",0.61412,-0.70341
"72.06_478.1972m/z",1.6283,0.70336
"606.7_796.7311m/z",1.6278,0.70289
"81.87_455.2196m/z",0.61454,-0.70242
"408.45_132.9228m/z",0.61468,-0.7021
"Creatine",1.6266,0.70189
"408.91_365.2177m/z",0.61494,-0.70149
"289.6_860.5278m/z",0.615,-0.70134
"387.01_822.4943m/z",0.61523,-0.7008
"53.93_357.2827m/z",1.6253,0.70072
"341.72_842.5817m/z",0.61583,-0.6994
"176.67_490.3081m/z",0.61605,-0.69888
"2-Oxoglutaric acid",0.61612,-0.69871
"408.45_100.933m/z",0.61619,-0.69855
"462.64_415.3572m/z",1.6215,0.69732
"81.65_473.2274m/z",0.61707,-0.6965
"392.94_828.6111m/z",0.61708,-0.69646
"423.06_872.6287m/z",0.61709,-0.69646
"476.56_838.6729m/z",1.6195,0.69553
"586.52_779.6945m/z",1.6186,0.69477
"289.6_858.5216m/z",0.61851,-0.69314
"582.41_818.7159m/z",1.615,0.69152
"586.06_787.6307m/z",1.6148,0.69139
"365.1_837.4873m/z",0.61931,-0.69127
"528.46_988.7728m/z",0.61972,-0.69031
"106.29_563.4053m/z",0.61981,-0.6901
"368.98_768.5541m/z",0.61998,-0.68971
