"",F.stat,p.value,-log10(p),FDR
633.86_259.2426m/z,0.31408,0.73172,0.13566,0.88518
261.53_410.3575m/z,0.31394,0.73182,0.1356,0.88518
71.84_776.574m/z,0.31386,0.73188,0.13556,0.88518
206.67_589.4456m/z,0.31381,0.73191,0.13554,0.88518
623.13_908.7056m/z,0.31373,0.73197,0.13551,0.88518
90.77_494.3246m/z,0.31369,0.732,0.13549,0.88518
495.83_870.6962m/z,0.31361,0.73205,0.13546,0.88518
381.53_905.6214m/z,0.31329,0.73229,0.13532,0.8853
Hydroxypalmitoleoylcarnitine CAR(16:1-OH),0.31321,0.73235,0.13528,0.8853
613.78_895.7076m/z,0.31275,0.73268,0.13509,0.88545
347.43_717.5257m/z,0.3127,0.73272,0.13506,0.88545
170.51_489.3562m/z,0.31253,0.73284,0.13499,0.88545
48.23_407.2795m/z,0.3125,0.73286,0.13498,0.88545
PI(18:1/22:6)_1,0.31238,0.73295,0.13493,0.88545
597.47_874.769m/z,0.3122,0.73308,0.13485,0.88545
81.19_1214.8578m/z,0.31208,0.73317,0.1348,0.88545
387.69_799.5376m/z,0.31188,0.73331,0.13471,0.88545
608.53_899.7816m/z,0.31186,0.73333,0.1347,0.88545
387.24_1605.205m/z,0.31138,0.73367,0.1345,0.88567
215.79_310.2827m/z,0.31133,0.73371,0.13447,0.88567
371.26_892.6048m/z,0.31107,0.7339,0.13436,0.88567
384.04_1245.8235m/z,0.31092,0.73401,0.1343,0.88567
613.32_804.7813m/z,0.3109,0.73402,0.13429,0.88567
67.96_536.3885m/z,0.31082,0.73408,0.13426,0.88567
121.35_545.3424m/z,0.31068,0.73418,0.1342,0.88568
387.47_747.5145m/z,0.3102,0.73453,0.13399,0.88598
123.05_520.4122m/z,0.31003,0.73465,0.13392,0.88601
253.32_569.431m/z,0.30963,0.73494,0.13375,0.88621
406.4_770.5669m/z,0.30929,0.73519,0.1336,0.88621
269.29_1136.7148m/z,0.30928,0.7352,0.1336,0.88621
334.88_706.5266m/z,0.30928,0.7352,0.13359,0.88621
493.55_425.3311m/z,0.30914,0.7353,0.13354,0.88621
377.43_116.9274m/z,0.30894,0.73544,0.13345,0.88625
378.34_800.5804m/z,0.30884,0.73552,0.1334,0.88625
288.91_833.5179m/z,0.30868,0.73564,0.13334,0.88628
546.36_611.3648m/z,0.30828,0.73593,0.13316,0.88651
491.5_616.5015m/z,0.30782,0.73627,0.13297,0.8868
597.47_854.7325m/z,0.30762,0.73641,0.13288,0.88684
634.54_931.7745m/z,0.30751,0.73649,0.13284,0.88684
55.76_712.4929m/z,0.30723,0.73669,0.13271,0.88691
335.11_898.5168m/z,0.30717,0.73674,0.13269,0.88691
77.54_878.6424m/z,0.30695,0.7369,0.13259,0.88699
365.56_1618.1774m/z,0.30658,0.73716,0.13244,0.88719
396.59_728.5537m/z,0.30622,0.73743,0.13228,0.88731
62.48_602.429m/z,0.30619,0.73745,0.13227,0.88731
422.83_880.6428m/z,0.30597,0.73761,0.13217,0.88739
336.48_1388.1385m/z,0.30561,0.73788,0.13202,0.88754
57.58_551.3938m/z,0.30554,0.73793,0.13199,0.88754
117.24_350.25m/z,0.30501,0.73831,0.13176,0.88788
629.52_882.7541m/z,0.30482,0.73845,0.13168,0.88794
471.77_607.6211m/z,0.30467,0.73856,0.13161,0.88796
426.13_846.6225m/z,0.30441,0.73875,0.1315,0.88805
379.48_550.5473m/z,0.3043,0.73883,0.13145,0.88805
SulfoHexCer(d18:1/24:1(OH)),0.30413,0.73895,0.13138,0.88808
306.36_704.5244m/z,0.30347,0.73944,0.1311,0.88832
57.35_851.6117m/z,0.30339,0.73949,0.13107,0.88832
387.24_1629.2068m/z,0.30339,0.73949,0.13107,0.88832
294.62_508.4717m/z,0.30328,0.73958,0.13102,0.88832
74.34_799.5567m/z,0.30294,0.73983,0.13087,0.88832
96.93_289.6473m/z,0.30288,0.73987,0.13084,0.88832
328.95_1772.1016m/z,0.3028,0.73993,0.13081,0.88832
328.26_959.5173m/z,0.30275,0.73996,0.13079,0.88832
328.03_863.5559m/z,0.30235,0.74026,0.13062,0.88832
368.75_979.5265m/z,0.30235,0.74026,0.13062,0.88832
288.0_621.4967m/z,0.30218,0.74038,0.13054,0.88832
599.75_882.7562m/z,0.30209,0.74045,0.13051,0.88832
86.89_667.979m/z,0.30164,0.74078,0.13031,0.88832
PC(O-24:1/20:3) and/or PC(P-24:0/20:3),0.30157,0.74083,0.13028,0.88832
81.87_712.0051m/z,0.30128,0.74104,0.13016,0.88832
381.53_841.5567m/z,0.30122,0.74108,0.13013,0.88832
585.61_1002.796m/z,0.30121,0.7411,0.13013,0.88832
300.55_396.3375m/z,0.30105,0.74121,0.13006,0.88832
96.02_626.3459m/z,0.30083,0.74137,0.12996,0.88832
145.41_504.3449m/z,0.30077,0.74141,0.12994,0.88832
73.66_591.2565m/z,0.30076,0.74143,0.12993,0.88832
PC(O-18:0/20:3),0.30062,0.74152,0.12988,0.88832
89.4_645.9668m/z,0.30057,0.74156,0.12985,0.88832
151.34_577.2596m/z,0.3005,0.74161,0.12982,0.88832
160.7_393.2617m/z,0.3005,0.74161,0.12982,0.88832
128.76_512.3607m/z,0.30042,0.74167,0.12979,0.88832
470.4_158.9749m/z,0.30026,0.74179,0.12972,0.88832
388.61_1532.1904m/z,0.30021,0.74183,0.1297,0.88832
326.89_1064.4451m/z,0.29985,0.74209,0.12954,0.88852
327.35_801.5463m/z,0.2997,0.7422,0.12948,0.88854
LPC(16:1/0:0),0.29928,0.74251,0.1293,0.8887
74.57_682.9843m/z,0.29914,0.74261,0.12924,0.8887
77.99_543.3981m/z,0.29896,0.74275,0.12916,0.8887
601.81_577.5187m/z,0.29888,0.7428,0.12913,0.8887
427.05_1578.2365m/z,0.29886,0.74282,0.12912,0.8887
387.92_760.5862m/z,0.29835,0.7432,0.1289,0.88876
389.06_796.4894m/z,0.29831,0.74322,0.12888,0.88876
326.89_944.4883m/z,0.29828,0.74324,0.12887,0.88876
424.53_883.6225m/z,0.29828,0.74325,0.12887,0.88876
427.05_775.5465m/z,0.29766,0.7437,0.1286,0.88899
377.66_1501.146m/z,0.29757,0.74376,0.12856,0.88899
588.57_751.5498m/z,0.29756,0.74377,0.12856,0.88899
59.18_807.584m/z,0.29749,0.74382,0.12853,0.88899
61.23_764.5551m/z,0.29732,0.74395,0.12846,0.88902
421.46_797.6271m/z,0.29706,0.74414,0.12834,0.88907
458.99_1663.348m/z,0.29701,0.74418,0.12832,0.88907
428.19_874.6703m/z,0.29673,0.74438,0.1282,0.8892
85.3_785.0525m/z,0.29651,0.74455,0.12811,0.8892
616.06_899.6713m/z,0.29636,0.74466,0.12804,0.8892
406.4_790.539m/z,0.29629,0.74471,0.12801,0.8892
613.32_1117.644m/z,0.29578,0.74509,0.12779,0.8892
155.22_435.262m/z,0.29573,0.74512,0.12777,0.8892
365.79_1545.1611m/z,0.2957,0.74514,0.12776,0.8892
644.81_900.7396m/z,0.29569,0.74515,0.12775,0.8892
388.61_1531.1917m/z,0.29556,0.74525,0.1277,0.8892
491.49_975.6637m/z,0.2954,0.74537,0.12763,0.8892
56.44_573.4075m/z,0.29539,0.74538,0.12762,0.8892
98.53_1141.8234m/z,0.2953,0.74544,0.12759,0.8892
54.39_704.5164m/z,0.29512,0.74557,0.12751,0.88925
624.96_371.3634m/z,0.29396,0.74643,0.12701,0.89016
55.99_661.4912m/z,0.2938,0.74655,0.12694,0.89018
433.21_798.6385m/z,0.29352,0.74676,0.12682,0.89031
629.75_1142.6314m/z,0.29331,0.74691,0.12673,0.89038
480.21_539.4556m/z,0.29281,0.74728,0.12652,0.89048
387.92_762.5923m/z,0.29266,0.74739,0.12645,0.89048
365.11_740.5121m/z,0.29259,0.74744,0.12642,0.89048
86.67_936.6835m/z,0.29256,0.74746,0.12641,0.89048
77.99_1068.7624m/z,0.29219,0.74774,0.12625,0.89048
401.61_835.6051m/z,0.29218,0.74774,0.12625,0.89048
269.29_1135.7115m/z,0.29213,0.74778,0.12623,0.89048
387.24_1628.2034m/z,0.29212,0.74779,0.12622,0.89048
593.82_548.4762m/z,0.29203,0.74786,0.12618,0.89048
465.6_618.518m/z,0.29173,0.74808,0.12605,0.89063
194.35_277.2165m/z,0.29127,0.74842,0.12585,0.89065
353.36_850.5924m/z,0.29118,0.74849,0.12581,0.89065
334.88_1103.8386m/z,0.29107,0.74857,0.12577,0.89065
314.8_437.1761m/z,0.291,0.74862,0.12574,0.89065
442.1_486.3346m/z,0.29087,0.74871,0.12568,0.89065
436.4_614.4893m/z,0.29087,0.74872,0.12568,0.89065
317.31_836.5372m/z,0.2908,0.74877,0.12565,0.89065
195.94_577.4812m/z,0.29061,0.74891,0.12557,0.89065
614.24_203.1799m/z,0.29039,0.74907,0.12548,0.89065
225.38_566.4119m/z,0.29031,0.74913,0.12544,0.89065
426.13_847.6261m/z,0.29029,0.74914,0.12543,0.89065
54.16_345.2835m/z,0.28996,0.74939,0.12529,0.89076
478.38_897.6461m/z,0.28988,0.74945,0.12526,0.89076
436.17_692.5651m/z,0.28971,0.74958,0.12518,0.89076
339.9_860.6098m/z,0.28965,0.74962,0.12516,0.89076
336.48_703.778m/z,0.28951,0.74972,0.1251,0.89076
TG(51:4),0.2892,0.74995,0.12497,0.89082
69.1_820.6007m/z,0.28919,0.74996,0.12496,0.89082
57.35_855.5672m/z,0.28901,0.7501,0.12488,0.89087
464.24_619.5283m/z,0.28854,0.75045,0.12468,0.89105
478.38_785.6538m/z,0.28842,0.75054,0.12463,0.89105
393.4_745.6206m/z,0.28836,0.75058,0.12461,0.89105
335.34_1503.1052m/z,0.28813,0.75075,0.1245,0.89105
377.88_1509.1552m/z,0.28806,0.7508,0.12448,0.89105
334.43_832.5863m/z,0.28802,0.75083,0.12446,0.89105
253.09_646.4997m/z,0.28762,0.75113,0.12429,0.89129
406.18_771.5579m/z,0.28731,0.75136,0.12415,0.89145
426.13_833.6102m/z,0.28673,0.75179,0.1239,0.89185
352.68_882.5263m/z,0.28649,0.75197,0.1238,0.89195
597.7_995.6709m/z,0.28625,0.75215,0.1237,0.89205
70.01_355.264m/z,0.28611,0.75225,0.12363,0.89206
317.31_837.5399m/z,0.2856,0.75264,0.12342,0.8924
384.27_793.5949m/z,0.28545,0.75275,0.12335,0.89242
641.84_1052.7355m/z,0.28485,0.75319,0.12309,0.89265
360.89_534.5251m/z,0.28454,0.75342,0.12296,0.89265
195.94_652.5341m/z,0.2843,0.7536,0.12286,0.89265
599.75_927.738m/z,0.28418,0.75369,0.1228,0.89265
456.48_589.5623m/z,0.28407,0.75377,0.12276,0.89265
369.44_785.4917m/z,0.28397,0.75385,0.12272,0.89265
348.11_733.0525m/z,0.28388,0.75391,0.12268,0.89265
490.58_540.4679m/z,0.28369,0.75405,0.1226,0.89265
492.41_758.6034m/z,0.28355,0.75416,0.12254,0.89265
464.01_620.5295m/z,0.28338,0.75429,0.12246,0.89265
294.84_657.5334m/z,0.28335,0.75431,0.12245,0.89265
69.78_1011.7236m/z,0.28333,0.75432,0.12244,0.89265
301.92_884.5373m/z,0.28324,0.75439,0.1224,0.89265
427.05_774.5435m/z,0.28302,0.75456,0.12231,0.89265
170.74_695.3112m/z,0.28283,0.7547,0.12223,0.89265
56.9_1362.9327m/z,0.28281,0.75471,0.12222,0.89265
394.31_610.5286m/z,0.28276,0.75475,0.12219,0.89265
60.78_1230.8531m/z,0.28266,0.75483,0.12215,0.89265
457.16_728.5594m/z,0.28243,0.755,0.12205,0.89265
PI(34:1); PI(16:0/18:1)_2|PI(18:0/16:1),0.28237,0.75504,0.12203,0.89265
269.97_99.9253m/z,0.28236,0.75505,0.12202,0.89265
364.88_834.6026m/z,0.28197,0.75535,0.12185,0.89265
377.43_61.9882m/z,0.28191,0.75538,0.12183,0.89265
49.82_566.3993m/z,0.28174,0.75551,0.12176,0.89265
261.08_796.5226m/z,0.28174,0.75552,0.12176,0.89265
314.57_748.5682m/z,0.28172,0.75553,0.12175,0.89265
296.21_678.5098m/z,0.2816,0.75562,0.1217,0.89265
282.98_407.3311m/z,0.28158,0.75563,0.12169,0.89265
496.52_634.6408m/z,0.28135,0.75581,0.12159,0.89274
PE(O-16:1/18:2) and/or PE(P-16:0/18:2),0.28074,0.75626,0.12133,0.89307
79.82_734.0183m/z,0.28072,0.75628,0.12132,0.89307
169.14_469.3894m/z,0.28025,0.75663,0.12112,0.89336
111.99_423.1606m/z,0.27959,0.75713,0.12083,0.89376
90.09_552.3301m/z,0.2794,0.75727,0.12075,0.89376
315.49_577.5196m/z,0.27933,0.75732,0.12072,0.89376
169.37_433.3672m/z,0.27924,0.75738,0.12068,0.89376
102.86_598.2544m/z,0.27917,0.75744,0.12065,0.89376
435.72_1008.8957m/z,0.27889,0.75765,0.12053,0.89389
336.48_1389.1418m/z,0.27875,0.75775,0.12047,0.8939
399.56_1585.2137m/z,0.27848,0.75795,0.12036,0.89402
436.17_791.5548m/z,0.27764,0.75859,0.12,0.89459
436.4_612.4743m/z,0.27752,0.75868,0.11994,0.89459
105.83_508.3399m/z,0.27746,0.75872,0.11992,0.89459
54.62_735.0081m/z,0.27715,0.75895,0.11979,0.89474
388.15_876.5298m/z,0.27682,0.75921,0.11964,0.89492
389.06_698.5123m/z,0.2767,0.7593,0.11959,0.89492
471.31_647.6185m/z,0.276,0.75982,0.11929,0.89531
DG(36:4)_1; DG(18:2/18:2) | DG(18:1/18:3),0.276,0.75982,0.11929,0.89531
387.01_746.5601m/z,0.27579,0.75998,0.1192,0.89539
48.68_417.2825m/z,0.27522,0.76041,0.11895,0.89565
53.25_515.3982m/z,0.27514,0.76047,0.11892,0.89565
PE(18:0/16:0),0.27503,0.76055,0.11887,0.89565
556.86_752.6375m/z,0.27491,0.76064,0.11882,0.89565
352.68_631.5578m/z,0.27485,0.76069,0.11879,0.89565
597.7_907.6848m/z,0.2746,0.76087,0.11869,0.89576
629.75_898.7169m/z,0.2744,0.76102,0.1186,0.89582
313.43_883.5335m/z,0.27428,0.76112,0.11855,0.89582
314.57_1003.4557m/z,0.2738,0.76148,0.11834,0.89608
627.69_623.5045m/z,0.27373,0.76153,0.11831,0.89608
77.77_756.0316m/z,0.27345,0.76175,0.11819,0.8961
442.1_584.3102m/z,0.27326,0.76188,0.11811,0.8961
264.5_377.2837m/z,0.27325,0.76189,0.11811,0.8961
96.25_995.7288m/z,0.27268,0.76232,0.11786,0.8961
378.34_810.6021m/z,0.27253,0.76244,0.11779,0.8961
PC(16:0/15:0),0.27252,0.76244,0.11779,0.8961
54.16_344.2803m/z,0.27248,0.76248,0.11777,0.8961
75.49_1113.7904m/z,0.27243,0.76251,0.11775,0.8961
152.26_419.3511m/z,0.27236,0.76256,0.11772,0.8961
644.81_1122.6793m/z,0.27232,0.76259,0.11771,0.8961
326.44_690.5613m/z,0.27229,0.76262,0.11769,0.8961
174.16_582.4054m/z,0.2716,0.76314,0.1174,0.89656
430.92_845.6646m/z,0.27152,0.7632,0.11736,0.89656
50.05_837.5979m/z,0.27124,0.76341,0.11724,0.89663
TPTG,0.27119,0.76345,0.11722,0.89663
397.51_1548.191m/z,0.27074,0.76379,0.11703,0.89677
64.08_1376.9481m/z,0.27056,0.76393,0.11695,0.89677
545.91_677.5972m/z,0.27047,0.76399,0.11691,0.89677
70.69_727.0106m/z,0.27033,0.7641,0.11685,0.89677
614.01_600.5065m/z,0.27025,0.76416,0.11682,0.89677
377.88_1569.1705m/z,0.27024,0.76417,0.11681,0.89677
402.3_643.526m/z,0.26985,0.76446,0.11664,0.89677
628.38_974.8179m/z,0.26969,0.76458,0.11658,0.89677
Stearic acid FA(18:0),0.26964,0.76462,0.11655,0.89677
63.39_719.5251m/z,0.26964,0.76463,0.11655,0.89677
99.21_524.278m/z,0.26935,0.76484,0.11643,0.89677
317.31_834.5214m/z,0.2693,0.76488,0.11641,0.89677
347.66_860.5061m/z,0.26927,0.7649,0.11639,0.89677
345.6_1120.4648m/z,0.26924,0.76493,0.11638,0.89677
340.36_918.6629m/z,0.26912,0.76502,0.11633,0.89677
195.94_590.4507m/z,0.26865,0.76537,0.11613,0.89702
59.18_1041.7344m/z,0.26842,0.76555,0.11603,0.89702
158.64_267.2324m/z,0.2684,0.76556,0.11602,0.89702
314.57_747.565m/z,0.26827,0.76566,0.11596,0.89702
Arachidyl carnitine CAR(20:0),0.26796,0.76589,0.11583,0.89702
472.91_794.6782m/z,0.26786,0.76597,0.11579,0.89702
201.08_518.3928m/z,0.26783,0.76599,0.11578,0.89702
500.85_621.6m/z,0.26782,0.76601,0.11577,0.89702
315.26_826.4665m/z,0.2676,0.76617,0.11568,0.89703
336.93_1460.1306m/z,0.2675,0.76624,0.11563,0.89703
TG(56:7)_2,0.26743,0.7663,0.1156,0.89703
500.39_664.6242m/z,0.26727,0.76642,0.11553,0.89705
533.25_647.6166m/z,0.26702,0.76661,0.11543,0.89705
492.64_875.6733m/z,0.26702,0.76661,0.11543,0.89705
60.55_572.438m/z,0.26679,0.76678,0.11533,0.8971
53.02_500.3619m/z,0.26639,0.76709,0.11516,0.8971
336.25_1489.1283m/z,0.26639,0.76709,0.11516,0.8971
427.05_743.6338m/z,0.26634,0.76713,0.11513,0.8971
642.3_926.819m/z,0.26633,0.76714,0.11513,0.8971
336.71_764.5513m/z,0.26608,0.76733,0.11502,0.89721
603.86_858.7559m/z,0.26571,0.76761,0.11486,0.89743
367.85_746.5709m/z,0.2653,0.76792,0.11469,0.89768
314.57_749.571m/z,0.26484,0.76827,0.11449,0.89781
581.5_968.7717m/z,0.26475,0.76834,0.11445,0.89781
407.32_774.602m/z,0.26474,0.76834,0.11445,0.89781
616.29_899.0172m/z,0.26462,0.76844,0.11439,0.89781
484.88_617.6057m/z,0.26452,0.76851,0.11435,0.89781
612.64_624.5074m/z,0.26426,0.76871,0.11424,0.89782
416.9_794.6072m/z,0.26425,0.76872,0.11423,0.89782
596.33_932.7963m/z,0.26394,0.76895,0.1141,0.89791
427.5_158.9749m/z,0.26384,0.76903,0.11406,0.89791
646.63_607.5564m/z,0.26351,0.76928,0.11392,0.89791
82.56_470.3148m/z,0.26351,0.76928,0.11392,0.89791
63.62_718.5315m/z,0.26346,0.76932,0.11389,0.89791
315.94_728.5186m/z,0.26331,0.76944,0.11383,0.89791
581.96_685.4363m/z,0.26324,0.76948,0.1138,0.89791
387.47_726.5365m/z,0.26306,0.76962,0.11372,0.89791
105.38_283.6655m/z,0.26289,0.76976,0.11365,0.89791
614.01_877.6045m/z,0.26266,0.76993,0.11355,0.89791
387.92_763.5962m/z,0.26256,0.77,0.11351,0.89791
169.14_470.392m/z,0.26232,0.77019,0.1134,0.89791
160.7_350.2481m/z,0.26229,0.77021,0.11339,0.89791
282.98_406.3229m/z,0.26228,0.77022,0.11339,0.89791
75.49_565.9113m/z,0.26223,0.77026,0.11336,0.89791
MG(18:1)_2,0.26212,0.77034,0.11332,0.89791
197.77_538.4235m/z,0.26149,0.77082,0.11305,0.89835
378.34_726.5437m/z,0.26136,0.77092,0.11299,0.89836
Capric acid FA(10:0),0.2612,0.77104,0.11292,0.89839
478.84_784.678m/z,0.26091,0.77127,0.1128,0.89847
91.91_381.2593m/z,0.26085,0.77131,0.11277,0.89847
353.82_380.7499m/z,0.26071,0.77142,0.11271,0.89849
402.3_624.5074m/z,0.26006,0.77192,0.11243,0.89892
409.37_844.6168m/z,0.25997,0.77198,0.11239,0.89892
317.54_835.5335m/z,0.25951,0.77234,0.11219,0.89904
96.93_283.1614m/z,0.2595,0.77234,0.11219,0.89904
275.68_780.5172m/z,0.25946,0.77238,0.11217,0.89904
351.31_550.4171m/z,0.25883,0.77286,0.1119,0.8993
572.83_661.5515m/z,0.25864,0.77301,0.11182,0.8993
336.71_1448.13m/z,0.25861,0.77302,0.11181,0.8993
51.42_563.377m/z,0.25857,0.77305,0.11179,0.8993
353.59_685.5678m/z,0.25853,0.77309,0.11177,0.8993
294.85_280.264m/z,0.25789,0.77358,0.1115,0.89972
445.53_803.6439m/z,0.25775,0.77369,0.11143,0.89972
90.32_303.2299m/z,0.25768,0.77374,0.11141,0.89972
89.4_550.4036m/z,0.25689,0.77434,0.11107,0.90027
54.39_940.6679m/z,0.25681,0.7744,0.11103,0.90027
360.66_676.4559m/z,0.25637,0.77474,0.11084,0.90055
356.56_1598.1343m/z,0.25604,0.775,0.1107,0.90061
351.08_551.4197m/z,0.25594,0.77508,0.11066,0.90061
313.66_882.5239m/z,0.2557,0.77526,0.11055,0.90061
426.93_116.9274m/z,0.25542,0.77547,0.11043,0.90061
579.22_848.6862m/z,0.25535,0.77553,0.1104,0.90061
278.87_792.4498m/z,0.25534,0.77553,0.1104,0.90061
407.32_777.6105m/z,0.25531,0.77555,0.11039,0.90061
Trimethylamine-N-oxide,0.2553,0.77557,0.11038,0.90061
152.48_515.372m/z,0.25501,0.77579,0.11026,0.90075
340.36_680.434m/z,0.25459,0.77611,0.11008,0.90084
72.52_777.5729m/z,0.25453,0.77615,0.11005,0.90084
509.75_708.6492m/z,0.25406,0.77652,0.10985,0.90084
53.02_982.69m/z,0.254,0.77656,0.10982,0.90084
642.07_928.8258m/z,0.25389,0.77665,0.10977,0.90084
90.32_893.6589m/z,0.25376,0.77675,0.10972,0.90084
430.01_814.6363m/z,0.25357,0.7769,0.10964,0.90084
613.78_878.7313m/z,0.25352,0.77694,0.10961,0.90084
466.29_754.5751m/z,0.25342,0.77701,0.10957,0.90084
398.19_1606.2131m/z,0.25328,0.77712,0.10951,0.90084
160.7_339.2899m/z,0.25327,0.77713,0.10951,0.90084
176.21_590.3821m/z,0.25303,0.77731,0.1094,0.90084
427.05_788.4941m/z,0.25299,0.77734,0.10939,0.90084
645.04_966.7389m/z,0.25295,0.77738,0.10937,0.90084
336.71_1449.1336m/z,0.25292,0.7774,0.10936,0.90084
317.31_833.5172m/z,0.2529,0.77742,0.10935,0.90084
353.59_915.5867m/z,0.25243,0.77777,0.10915,0.90105
67.04_865.627m/z,0.25241,0.77779,0.10914,0.90105
496.52_614.6225m/z,0.25225,0.77791,0.10907,0.90108
466.52_757.5944m/z,0.25206,0.77806,0.10899,0.90114
629.52_877.7984m/z,0.25159,0.77843,0.10878,0.90145
444.84_824.6543m/z,0.25127,0.77867,0.10865,0.90162
385.41_932.5698m/z,0.25076,0.77907,0.10843,0.90196
176.21_610.4318m/z,0.25022,0.77948,0.1082,0.90209
435.49_824.6525m/z,0.25017,0.77952,0.10817,0.90209
386.32_539.3254m/z,0.25012,0.77956,0.10815,0.90209
387.92_1556.1955m/z,0.25011,0.77956,0.10815,0.90209
74.8_923.6711m/z,0.24999,0.77966,0.10809,0.90209
Isoleucine,0.24947,0.78006,0.10787,0.90244
81.87_1404.9795m/z,0.24932,0.78018,0.10781,0.90246
336.25_979.4332m/z,0.24903,0.7804,0.10768,0.90261
442.56_397.3121m/z,0.24866,0.78069,0.10752,0.90273
275.45_776.4979m/z,0.24864,0.7807,0.10751,0.90273
478.84_600.606m/z,0.24838,0.7809,0.1074,0.90284
346.06_805.5602m/z,0.24826,0.78099,0.10735,0.90284
315.14_827.4732m/z,0.24803,0.78117,0.10725,0.90294
642.07_927.8224m/z,0.2475,0.78159,0.10702,0.90331
315.94_729.5279m/z,0.24722,0.7818,0.1069,0.90344
386.78_1545.1708m/z,0.24709,0.7819,0.10685,0.90344
66.13_674.5053m/z,0.24682,0.78211,0.10673,0.90344
393.63_774.5434m/z,0.24677,0.78215,0.10671,0.90344
387.92_760.3689m/z,0.24639,0.78245,0.10655,0.90344
55.76_896.6401m/z,0.24637,0.78246,0.10654,0.90344
392.26_552.4338m/z,0.24617,0.78262,0.10645,0.90344
353.59_914.5837m/z,0.2461,0.78267,0.10642,0.90344
60.78_997.7079m/z,0.24581,0.78289,0.1063,0.90344
646.4_606.5511m/z,0.24578,0.78292,0.10628,0.90344
424.31_824.6453m/z,0.24577,0.78293,0.10628,0.90344
448.72_883.6876m/z,0.2457,0.78298,0.10625,0.90344
Lauroylcarnitine CAR(12:0),0.24565,0.78302,0.10623,0.90344
222.87_476.3662m/z,0.2456,0.78306,0.1062,0.90344
607.16_890.7309m/z,0.24527,0.78332,0.10606,0.90351
370.58_852.5772m/z,0.24516,0.7834,0.10602,0.90351
459.1_816.6911m/z,0.24513,0.78342,0.106,0.90351
396.36_725.5302m/z,0.24489,0.78361,0.1059,0.9036
433.21_800.6419m/z,0.24479,0.78369,0.10586,0.9036
335.79_1487.148m/z,0.24425,0.78411,0.10562,0.90368
436.17_616.5033m/z,0.24422,0.78413,0.10561,0.90368
407.09_752.5595m/z,0.24422,0.78413,0.10561,0.90368
394.77_888.5156m/z,0.24419,0.78416,0.1056,0.90368
381.3_840.5527m/z,0.24398,0.78432,0.10551,0.90368
632.49_924.7225m/z,0.24395,0.78434,0.1055,0.90368
316.4_693.5281m/z,0.24376,0.78449,0.10541,0.90373
265.87_278.2234m/z,0.24364,0.78458,0.10536,0.90373
381.99_845.6262m/z,0.24323,0.7849,0.10519,0.90398
335.34_1601.0815m/z,0.24308,0.78502,0.10512,0.90401
478.38_861.6964m/z,0.24287,0.78518,0.10503,0.90408
500.62_721.6659m/z,0.24218,0.78572,0.10473,0.90459
336.02_1488.1407m/z,0.24205,0.78582,0.10468,0.90459
378.34_838.532m/z,0.24151,0.78624,0.10445,0.9049
426.13_982.5544m/z,0.24146,0.78628,0.10442,0.9049
406.86_840.5182m/z,0.24112,0.78655,0.10428,0.90509
275.22_445.3674m/z,0.24082,0.78678,0.10415,0.9052
69.1_630.479m/z,0.24075,0.78683,0.10412,0.9052
620.62_881.7029m/z,0.2405,0.78703,0.10401,0.9053
613.78_877.7279m/z,0.24032,0.78717,0.10393,0.9053
353.13_891.5939m/z,0.24006,0.78738,0.10382,0.9053
381.99_844.6225m/z,0.23994,0.78747,0.10377,0.9053
282.98_409.3459m/z,0.2399,0.7875,0.10375,0.9053
59.41_1275.8821m/z,0.23989,0.7875,0.10375,0.9053
629.75_1132.6142m/z,0.23882,0.78834,0.10329,0.90607
183.96_587.431m/z,0.23876,0.78839,0.10326,0.90607
648.69_839.7882m/z,0.23866,0.78846,0.10322,0.90607
96.02_664.3014m/z,0.23826,0.78878,0.10304,0.90631
432.98_618.5823m/z,0.23789,0.78906,0.10289,0.90653
329.18_376.7637m/z,0.23735,0.78949,0.10265,0.90684
65.9_1100.7769m/z,0.2373,0.78953,0.10263,0.90684
279.56_808.5071m/z,0.23711,0.78968,0.10255,0.9069
394.31_609.5252m/z,0.23697,0.78979,0.10249,0.90691
353.13_696.4606m/z,0.23645,0.7902,0.10226,0.90727
69.1_631.9506m/z,0.23619,0.7904,0.10215,0.90727
462.64_538.4459m/z,0.23608,0.79049,0.1021,0.90727
368.53_1531.1558m/z,0.23607,0.79049,0.1021,0.90727
337.85_709.5491m/z,0.23569,0.79079,0.10194,0.90741
253.09_647.5124m/z,0.23567,0.79081,0.10193,0.90741
264.73_398.3166m/z,0.23539,0.79103,0.10181,0.90755
397.28_1567.1966m/z,0.23516,0.7912,0.10171,0.90764
133.32_520.4102m/z,0.23485,0.79145,0.10158,0.90777
401.16_716.5566m/z,0.23477,0.79151,0.10154,0.90777
315.49_579.5259m/z,0.23438,0.79182,0.10137,0.90801
339.67_730.5382m/z,0.23422,0.79194,0.10131,0.90804
387.01_1529.1763m/z,0.23382,0.79226,0.10113,0.90829
225.38_565.4047m/z,0.2333,0.79267,0.10091,0.90842
307.27_843.6035m/z,0.2333,0.79267,0.10091,0.90842
390.2_722.5107m/z,0.23326,0.7927,0.10089,0.90842
335.34_1502.1016m/z,0.23318,0.79276,0.10086,0.90842
211.46_559.4712m/z,0.23241,0.79337,0.10052,0.90886
105.38_571.3593m/z,0.23234,0.79342,0.1005,0.90886
